Mcode,State_Code,District_Code,Teh_Code,Blk_Code,Sector_Code,Gp_Code,Vill_Code,Dept_Code,Project_Code,cnt1,cnt2,cnt3,Cnt4,Cnt5,Dataportmode,Modedesc,Data_Lvl_Code,Yr,Mnth,dateDatadt
103,337,5700,0,0,44,0,0,287,70043,3941,994.499,1.61072,0,0,1,0,1,2016,4,5/31/2016
103,349,5826,0,0,44,0,0,287,70043,5353,2233.2028,5.27821,0,0,1,0,1,2016,5,5/31/2016
